Transaction_Amount,Time_Since_Last_Tx_Min,Distance_From_Last_Tx_Km,Distance_From_Home_Km,Amount_Ratio_30Day,Tx_Count_Last_24h,Failed_PIN_Attempts_24h,Transaction_Hour,Is_International_Tx,Is_High_Risk_Category,Is_First_Time_Device,Is_Weekend_Tx,Daily_Limit_Used_Pct,Card_Age_Days,Class
2854.51,2.3,1197.0,499.5,9.76,21,2,2,1,1,1,1,82.1,51,1
379.59,285.1,25.2,9.6,0.74,5,0,21,0,0,0,0,37.6,814,0
262.1,572.6,4.2,15.9,0.43,2,0,18,0,0,0,0,54.4,280,0
106.42,28.0,31.0,20.1,0.57,1,1,6,0,0,0,0,15.9,1419,0
439.53,52.7,17.1,11.7,1.65,3,0,14,0,0,0,1,10.4,1043,0
440.39,132.8,42.8,21.7,0.26,1,0,17,1,0,1,0,43.0,992,0
435.94,79.4,21.8,10.4,0.55,5,0,18,0,0,0,0,50.3,160,0
123.2,65.0,9.7,9.1,0.7,5,0,15,0,0,0,0,51.8,1332,0
228.36,53.1,9.6,16.5,1.19,3,0,14,0,1,0,0,40.3,265,0
492.57,108.1,38.5,1.2,1.05,5,0,10,0,0,0,1,50.8,1108,0
387.15,102.8,13.4,2.9,0.55,4,0,12,0,0,1,1,43.5,1423,0
18.45,21.1,38.4,12.8,0.46,3,0,6,0,0,0,0,9.8,754,0
37.28,76.6,10.4,28.3,0.58,4,0,9,0,0,0,0,46.9,450,0
234.65,96.8,16.2,21.8,1.0,5,0,17,0,0,1,0,14.9,1184,0
455.06,101.4,23.3,3.1,0.63,3,0,15,0,0,0,0,18.0,362,0
271.66,28.3,47.2,25.5,1.72,4,0,9,0,0,0,1,26.7,223,0
251.42,162.7,46.6,22.1,0.94,5,0,21,0,0,0,0,22.3,1361,0
57.21,3.1,10.4,18.5,0.29,2,0,10,0,0,0,0,22.7,1031,0
330.11,52.6,18.0,24.7,1.37,2,0,11,0,0,0,1,14.3,1213,0
411.94,181.8,7.6,12.4,0.73,1,0,9,0,0,0,0,21.2,238,0
193.31,99.6,25.5,7.0,1.25,2,0,11,0,0,0,0,6.1,1485,0
388.93,36.3,23.1,15.6,0.65,4,0,15,0,0,0,0,31.0,959,0
482.42,142.5,45.0,16.7,1.11,2,0,12,0,0,0,0,47.3,1216,0
105.86,100.6,46.5,16.4,1.44,3,0,8,0,0,0,1,52.4,233,0
264.05,190.9,19.2,17.2,1.68,3,1,14,0,0,0,0,50.1,1327,0
147.13,159.4,24.6,28.5,0.62,3,0,13,0,0,1,0,27.9,918,0
397.46,113.0,44.8,27.1,0.74,2,0,6,0,0,0,0,45.2,1161,0
290.91,80.4,40.4,26.3,0.94,2,0,18,0,0,0,0,20.8,1117,0
319.12,17.2,0.3,24.1,1.68,1,0,7,0,0,0,1,8.1,556,0
399.97,36.3,16.1,28.3,1.64,5,0,7,0,1,0,0,42.2,537,0
201.01,65.2,21.1,3.4,0.34,1,0,15,0,1,1,1,40.7,779,0
457.97,109.7,11.6,8.3,0.41,4,0,14,0,0,0,1,49.1,746,0
268.85,86.5,10.1,15.1,0.99,3,0,17,0,0,1,1,38.9,721,0
83.19,40.8,2.0,25.5,0.37,2,0,14,0,0,0,1,13.6,1347,0
349.47,0.8,32.2,15.4,0.75,5,0,14,0,0,0,0,51.9,1291,0
397.66,82.3,13.2,22.6,0.44,5,0,6,0,0,0,1,39.5,1230,0
161.8,40.4,2.7,4.6,1.22,2,0,12,0,0,0,0,49.4,123,0
429.3,159.2,11.6,7.9,1.72,1,0,20,0,0,0,0,47.6,908,0
453.54,2.9,40.1,22.1,1.79,5,0,17,0,0,0,0,21.4,1430,0
142.07,105.5,42.6,5.4,0.8,1,0,16,0,0,0,0,9.1,1034,0
491.84,340.6,24.2,10.9,1.16,2,0,18,0,0,0,0,14.7,1481,0
74.65,23.0,20.9,8.3,1.57,1,1,8,0,0,0,0,10.1,469,0
105.0,76.6,48.9,10.8,0.39,3,0,16,0,0,0,0,18.4,1096,0
96.19,11.5,10.1,21.4,1.3,2,0,14,0,0,0,0,30.3,270,0
447.52,117.9,10.8,11.4,0.85,2,0,13,0,1,0,0,54.9,321,0
328.87,96.0,14.7,16.9,0.53,5,0,8,0,0,0,1,53.0,542,0
80.29,62.8,8.7,3.4,0.84,5,0,6,0,1,1,0,44.5,1276,0
222.96,88.4,19.0,24.2,0.32,5,0,14,0,0,0,0,6.3,961,0
309.57,272.3,45.6,11.4,1.31,3,0,18,0,0,0,0,23.8,475,0
46.31,26.2,30.8,19.6,0.6,3,0,15,0,0,1,0,42.5,380,0
441.8,2.7,20.7,21.9,0.7,4,0,6,0,0,0,0,12.1,812,0
402.78,237.4,46.7,6.7,0.39,2,0,20,0,0,0,0,49.1,1342,0
255.08,103.3,2.5,26.6,1.58,5,0,8,0,0,0,0,55.3,1057,0
483.73,265.6,10.6,18.7,0.99,2,0,18,0,0,0,0,24.5,910,0
211.79,109.0,28.3,13.1,1.12,1,0,11,0,0,0,0,43.8,926,0
492.13,199.4,30.8,5.9,1.11,3,1,11,0,0,0,1,13.2,585,0
335.62,67.4,2.1,28.3,0.86,4,0,19,0,0,0,0,43.0,434,0
